"CubeId";"snbbipo"
"PublishingDate";"2017-02-28 09:00"

"Date";"D0";"Value"
"2007-05";"UA";"788.11955189"
"2007-05";"T0";"105649.831821"
"2007-06";"GFG";"32730.97154895"
"2007-06";"D";"46274.06526456"
"2007-06";"RIWF";"462.53540862"
"2007-06";"W";"241.82775104"
"2007-06";"WSF";"4427.16737605"
"2007-06";"UA";"846.57281726"
"2007-06";"T0";"109440.76961121"
"2007-07";"GFG";"31814.0580464"
"2007-07";"D";"47095.40601818"
"2007-07";"RIWF";"440.2977676"
"2007-07";"W";"241.83887159"
"2007-07";"WSF";"4342.0557049"
"2007-07";"UA";"816.2865022"
"2007-07";"T0";"106198.5084201"
"2007-08";"GFG";"30942.76114906"
"2007-08";"D";"48124.91170056"
"2007-08";"RIWF";"428.82407355"
"2007-08";"W";"241.83887159"
"2007-08";"WSF";"4314.33650184"
"2007-08";"UA";"816.3110392"
"2007-08";"T0";"107077.30733973"
"2007-09";"GFG";"32930.15808336"
"2007-09";"D";"49487.11346477"
"2007-09";"RIWF";"424.5469756"
"2007-09";"W";"243.73633152"
"2007-09";"WSF";"4351.3563921"
"2007-09";"UA";"851.72849778"
"2007-09";"T0";"111439.39727089"
"2007-10";"GFG";"32588.80284443"
"2007-10";"D";"49623.1045618"
"2007-10";"RIWF";"424.90525159"
"2007-10";"W";"217.31895762"
"2007-10";"WSF";"4264.35639484"
