"CubeId";"devkum"
"PublishingDate";"2017-03-01 14:30"

"Date";"D0";"D1";"Value"
"1999-08";"M1";"HKD100";"19.5652"
"1999-08";"M1";"KRW100";"0.1287"
"1999-08";"M1";"MYR100";"39.98"
"1999-08";"M1";"NZD1";"0.7851"
"1999-08";"M1";"SGD100";"90.2245"
"1999-08";"M1";"THB100";"3.9635"
"1999-08";"M1";"XDR1";"2.07931"
"1999-09";"M0";"EUR1";"1.6016"
"1999-09";"M0";"GBP1";"2.4733"
"1999-09";"M0";"DKK100";"21.5377"
"1999-09";"M0";"NOK100";"19.4632"
"1999-09";"M0";"CZK100";"4.4147"
"1999-09";"M0";"HUF100";"0.6277"
"1999-09";"M0";"PLN100";"37.3864"
"1999-09";"M0";"RUB100";"5.935"
"1999-09";"M0";"SEK100";"18.5391"
"1999-09";"M0";"TRY100";"0.000335"
"1999-09";"M0";"USD1";"1.5246"
"1999-09";"M0";"CAD1";"1.0314"
"1999-09";"M0";"ARS100";"152.4973"
"1999-09";"M0";"BRL100";"80.3218"
"1999-09";"M0";"MXN100";"16.3336"
"1999-09";"M0";"ZAR1";"0.2514"
"1999-09";"M0";"JPY100";"1.424255"
"1999-09";"M0";"AUD1";"0.988814"
"1999-09";"M0";"CNY100";"18.43640909"
"1999-09";"M0";"HKD100";"19.631659"
"1999-09";"M0";"KRW100";"0.1272"
"1999-09";"M0";"MYR100";"40.1223"
"1999-09";"M0";"NZD1";"0.7967"
"1999-09";"M0";"SGD100";"89.9211"
"1999-09";"M0";"THB100";"3.8169"
"1999-09";"M0";"XDR1";"2.09876"
"1999-09";"M1";"EUR1";"1.5978"
"1999-09";"M1";"GBP1";"2.4624"
"1999-09";"M1";"DKK100";"21.5"
"1999-09";"M1";"NOK100";"19.37"
"1999-09";"M1";"CZK100";"4.4691"
"1999-09";"M1";"HUF100";"0.6201"
"1999-09";"M1";"PLN100";"36.51"
"1999-09";"M1";"RUB100";"5.93"
"1999-09";"M1";"SEK100";"18.34"
"1999-09";"M1";"TRY100";"0.0003247"
"1999-09";"M1";"USD1";"1.496"
"1999-09";"M1";"CAD1";"1.0203"
"1999-09";"M1";"ARS100";"149.62"
"1999-09";"M1";"BRL100";"77.27"
"1999-09";"M1";"MXN100";"15.97"
"1999-09";"M1";"ZAR1";"0.2482"
"1999-09";"M1";"JPY100";"1.4135"
"1999-09";"M1";"AUD1";"0.9761"
"1999-09";"M1";"CNY100";"18.109"
"1999-09";"M1";"HKD100";"19.2592"
"1999-09";"M1";"KRW100";"0.123"
"1999-09";"M1";"MYR100";"39.37"
"1999-09";"M1";"NZD1";"0.7752"
"1999-09";"M1";"SGD100";"88.1296"
"1999-09";"M1";"THB100";"3.6622"
"1999-09";"M1";"XDR1";"2.07807"
"1999-10";"M0";"EUR1";"1.594"
"1999-10";"M0";"GBP1";"2.4656"
"1999-10";"M0";"DKK100";"21.4395"
"1999-10";"M0";"NOK100";"19.22"
"1999-10";"M0";"CZK100";"4.3442"
"1999-10";"M0";"HUF100";"0.6187"
"1999-10";"M0";"PLN100";"36.1814"
"1999-10";"M0";"RUB100";"5.7319"
"1999-10";"M0";"SEK100";"18.2462"
